name,email,number,address,total_price
Mario Rossi,mariorossi@example.com,3271436897,321 Apple St, 54.99
Sofia Bolla,sofiabolla@example.com,3271456897,654 Orange St, 77.45
Marco Filli,marcofilli@example.com,3271236897,987 Banana St, 105.67
Domenico Santo,domenicosanto@example.com,3271456897,123 Grape St, 23.88
Maria Lorenza,marialorenza@example.com,3221456897,456 Lemon St, 33.30
Giacomo Sasso,giacomosasso@example.com,3271456865,789 Lime St, 70.56
Gioele Valli,gioelevalli@example.com,3281443897,101 Mango St, 55.49
Davide Morelli,davidemorelli@example.com,3271456843,202 Peach St, 49.20
Fabio Verdi,fabioverdi@example.com,3271456697,303 Pineapple St, 22.11
Luca Laurenti,lucalaurenti@example.com,3295656897,404 Strawberry St, 67.00
