name,email,password
Nina Udinese,ilariamilanesi@tim.it,admin
Franco Pisano,dino93@tiscali.it,admin
Dott. Romolo Filzi,cmorosini@roth-segre.it,admin
Dott. Paoletta Lattuada,bassirenata@yahoo.com,admin
Maura Guarneri,lorenzogiacometti@fastwebnet.it,admin
Beppe Stoppani,giannabalotelli@moneta.net,admin
Orlando Ughi,roccaflavia@faranda.it,admin
Veronica Palombi-Maglio,adrianafabrizi@hotmail.com,admin
Luciano Ferrante,kmazzocchi@tiscali.it,admin
Marina Blasi,rolando03@tim.it,admin
Sig. Giacobbe Castelli,priscillagiannuzzi@alice.it,admin
Sig.ra Melania Zecchini,pangeli@majorana.it,admin
Simonetta Turchi,tcheda@morandi.com,admin
Letizia Broggini-Battaglia,sroth@yahoo.com,admin
Sig.ra Donatella Granatelli,beccariamarissa@tele2.it,admin
Dionigi Colletti,buscettaottavio@libero.it,admin
Maria Binaghi,galileihugo@federici-malaparte.org,admin
Guido Petrocelli,chiappettarosalia@leonardi.net,admin
Sig.ra Elisa Depero,surianliliana@tele2.it,admin
Eva Udinese-Porcellato,corrado47@libero.it,admin
Benito Marconi,canaligalasso@lopresti-argurio.com,admin
Allegra Antelami-Taliani,costantino89@gmail.com,admin
Carla Mocenigo,sgovoni@cuzzocrea-camanni.net,admin
Alessio Bruscantini,trincavelliannibale@carriera.it,admin
Sig. Fabio Gaito,hboccaccio@agostinelli.eu,admin
Alfio Aloisio-Randazzo,lucarelligiulia@poste.it,admin
Gianna Verdone-Emo,pastineezio@fantoni.it,admin
Lucio Bellini,martinomedici@tacchini.com,admin
Carla Gasperi,verdonegermana@tele2.it,admin
Sig.ra Emma Carpaccio,silviainteriano@libero.it,admin
